,EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
107,437211593,2019-09-13,BANKNIFTY,27772.0,28126.85,27573.45,28098.75,,,438497830,6752.69,2019-09-13,
108,437241593,2019-09-16,BANKNIFTY,27868.0,28066.7,27798.85,27855.0,,,234062573,4463.98,2019-09-16,
109,437251593,2019-09-17,BANKNIFTY,27765.1,27851.4,27047.95,27131.75,,,277762547,5449.45,2019-09-17,
110,437261593,2019-09-18,BANKNIFTY,27304.7,27414.45,27088.8,27172.65,,,307775512,5314.41,2019-09-18,
111,437271593,2019-09-19,BANKNIFTY,27175.45,27175.45,26643.0,26757.65,,,450436905,6050.19,2019-09-19,
112,437281593,2019-09-20,BANKNIFTY,26878.65,29418.95,26727.55,28981.55,,,844582360,18185.99,2019-09-20,
113,437311593,2019-09-23,BANKNIFTY,30039.4,30801.3,29776.3,30566.2,,,552171387,14401.9,2019-09-23,
114,437321593,2019-09-24,BANKNIFTY,30432.0,30668.1,29889.55,30183.1,,,348810197,8157.62,2019-09-24,
115,437331593,2019-09-25,BANKNIFTY,30029.05,30067.6,29470.1,29586.05,,,352814285,8112.37,2019-09-25,
116,437341593,2019-09-26,BANKNIFTY,29640.55,30718.35,29627.0,30002.6,,,540435004,11367.6,2019-09-26,
117,437351593,2019-09-27,BANKNIFTY,29974.95,30112.65,29711.35,29876.65,,,464096458,7011.82,2019-09-27,
118,437381593,2019-09-30,BANKNIFTY,29674.8,29754.4,28943.45,29103.15,,,580252025,9447.47,2019-09-30,
119,437391593,2019-10-01,BANKNIFTY,29226.15,29526.4,28077.35,28725.5,,,1187313940,15321.69,2019-10-01,
